PC1;PC2;PC3;PC4;PC5;PC6;PC7;PC8;PC9;PC10;PC11;PC12;PC13;PC14;PC15;PC16;PC17
-3.655480654;-0.163264511;-0.061915217;0.879264721;0.963412655;0.850604024;-0.569800233;-0.388340517;0.469643915;-0.284710819;0.164520213;0.401790936;-0.239925042;-0.080616148;0.820726714;0.217008985;0.251639893
-2.360506178;0.453305541;-0.843837465;0.244895836;0.650068479;0.817328929;-0.1678588;-0.41636929;-0.056731871;0.088701379;0.021075023;1.369419037;0.323149185;-1.170681826;-0.079088953;0.706440256;-0.032645326
3.320114801;-1.200372086;0.027720681;-0.74494194;-0.069299542;0.754691008;-0.276230242;0.26842782;0.949865674;0.220237157;0.03926059;-0.355012285;-0.595410273;0.167595577;0.529522903;0.233985734;0.012313908
4.935619756;0.612552516;-2.063710224;1.222657301;-0.111474802;-0.208536285;0.646010355;-0.235599411;-1.159715022;0.544839768;0.963070207;0.284840877;0.240973583;0.547792212;0.90836652;0.545282598;-0.046428627
-0.179385982;0.037132239;0.973585697;0.924308703;0.215779678;-0.052177973;-0.22612046;-0.246023562;0.109555489;-1.342707267;-0.560136659;0.125838093;0.04401423;-0.91864138;0.145484243;-1.167146049;-0.090113237
-0.493443233;0.603643287;-1.383636471;1.166858068;-0.131350531;-0.409671126;0.791758347;-0.464246602;0.652513389;0.485344643;0.216228238;0.408571787;-0.259446997;0.559569598;-0.098133873;-0.443654782;0.17251837
-2.847620115;0.599050841;-0.86425806;0.745090259;0.348281169;0.517672561;-0.554591664;-0.314369664;0.001980902;-1.119832234;-0.436848245;0.425989155;-1.350134365;-0.257264234;-0.438412848;-0.494950028;0.280399357
1.900801749;0.675659541;0.965948054;-1.020473601;-0.08713439;-0.70273249;0.955768212;-1.177991771;-1.013108727;0.280481857;0.147912993;-0.241463924;1.119512336;0.159877843;0.561843939;-0.178161504;0.05062803
-1.43613216;0.220527349;-0.748050447;0.495782843;0.627099122;-0.422620309;1.040818279;-1.3942158;-0.14814392;-0.425136457;-0.604939702;0.987171112;0.40023115;0.346433203;-1.103625724;-0.095137125;0.29010395
3.446960818;-0.814790784;-0.200557112;0.656745948;-1.363808819;0.104703268;0.048233849;-0.179704099;-0.421755636;-0.238482946;-0.321269156;0.203905051;-0.16268578;0.878695425;-0.813040614;-0.51340861;-0.140818609
