PC1;PC2;PC3;PC4;PC5;PC6
0.217175122;0.276445155;-0.956157697;2.729631417;-1.439501208;-1.094730981
0.610038971;-1.482237533;-5.29643698;0.565818404;0.510559392;0.698432568
-3.21867791;3.032852639;0.76856459;1.426837997;1.648317885;0.210624807
-2.802631762;2.161758777;-1.096259446;-0.744510049;-0.36074082;0.326043843
0.943343116;0.449399979;-2.229127132;0.051309811;-1.135873779;0.02843658
-1.010249076;-1.039922035;-1.541806042;1.756325561;0.136627374;0.313168764
2.00758194;0.256737126;-2.569266166;0.064105293;0.885693617;2.098652818
1.70776688;3.269511982;1.822142839;-0.64927098;-0.810546107;-0.397430059
-0.66845685;-0.434118346;0.644679006;0.90282359;-4.006891557;1.951275549
0.123860315;0.541940659;-0.260123634;-1.729672749;-1.247153855;-0.802178909
0.724649946;0.52781102;1.150697975;0.986109338;3.010726248;-0.000697744
0.337288088;-1.73169663;0.394049854;-0.861760176;-1.309569641;1.600390223
-0.670012172;0.765572493;-1.930985134;2.007702546;1.085386574;1.660266715
3.246961908;-2.055108803;2.813257227;0.770295773;3.642461193;-2.455829816
-5.087982967;-1.273994215;-0.406082408;-0.432600226;0.756772896;-2.688968475
-1.457323978;-1.117194442;-1.30960417;-2.650578125;-0.79953743;-0.434314251
-1.040843686;-1.2901162;-1.44683306;-0.342450056;1.625339858;0.886052791
-2.033915961;0.946302673;0.73041771;0.293336262;-1.820270014;0.130199878
2.32324582;1.603908341;-1.572853605;2.017966335;1.111732813;-0.979533669
0.119719263;1.759220119;-0.59947197;-1.83348771;0.301120905;-0.413754675
-2.052213714;-0.324096171;-1.266317945;-1.08577167;-0.34117511;0.730080392
1.524027856;-1.281562122;0.186731979;-0.085445442;-1.932308052;-2.708212365
-0.815657296;-0.529313949;1.382182201;-0.238395395;-0.532295957;-0.923541454
-0.866491533;0.595582735;1.341617123;-1.478486373;-0.588075913;-1.121669577
0.217923622;-0.444598616;2.573021723;1.271687533;-0.098242442;-1.591929808
1.175019332;-2.233588158;-0.643792271;0.363305264;2.628637876;1.447387808
-1.563774178;-0.643053399;-0.381712831;-0.834230371;-0.875684038;-0.509417659
0.701026095;-0.184506064;-0.380941089;0.080132569;-0.226762996;1.927060453
-1.629579606;0.416899742;1.67736926;-0.86111367;-0.119714789;-1.294732261
0.525468651;-1.104452995;0.044828463;-0.866789648;0.517227595;0.807036877
-1.267806224;3.732295326;1.175673636;-0.127133118;0.867319674;0.121219184
3.324416717;-0.328870395;0.474740799;0.449773646;0.94219832;-0.165184402
-1.465821957;-2.052985284;-0.871115177;2.842827549;-0.536812551;0.862542213
0.580701566;2.546015807;-1.644995184;0.475245806;0.815177121;-0.211970182
-2.008464336;1.795742292;-0.91618347;-0.022808297;1.345706373;-0.76420768
-0.873097156;-2.016328785;0.939779913;1.141397361;1.145126686;0.264357008
-0.640450726;0.968873544;2.107929226;3.135751976;-0.088193678;1.971403763
4.551562024;-4.165653176;2.301803539;0.255231645;-1.190231036;-1.937631915
0.07105396;-3.411632366;0.996281576;1.250372823;1.162028203;0.39364159
2.727177889;1.037771183;2.616580636;-1.731775307;2.002907591;1.049816208
-2.934826633;1.064084603;1.901884331;-0.599985418;1.480558157;-0.65060978
0.903070577;0.717738036;0.009431238;-2.137697259;-0.734371184;-2.6646468
-0.184381892;-2.402090865;0.746835759;0.091210271;1.142991027;1.709145413
1.139158991;-1.162133186;-1.025187708;1.25315979;-0.250152558;-0.080425623
-3.682019609;0.271031524;0.165315833;-0.538676262;0.127601943;0.073328345
0.608516389;1.985308993;0.61476489;-0.5742184;0.33933557;0.024858858
-2.082067917;0.506683204;-0.784357785;-0.54410856;0.158631478;0.743290423
-1.63195422;-2.816205414;1.647859022;2.332200633;-0.343088864;0.631115445
0.214724297;-1.981584048;-0.938158808;-0.548143807;-2.099856991;1.062667568
0.33029726;1.717121218;-2.360500992;-0.145264694;-0.1082501;0.834866014
0.465044009;3.961007974;0.223242421;-2.919002193;-1.686142067;-0.55803434
-1.344170029;-0.609740955;3.271273254;2.586375395;-0.70379456;-0.166623441
1.380046331;1.062720576;-2.167603236;0.103035221;1.575682773;-0.861197797
