PC1;PC2;PC3;PC4;PC5;PC6;PC7;PC8;PC9;PC10;PC11;PC12;PC13;PC14;PC15
-2.636931909;0.768577721;-0.104985707;0.461103254;-0.00202513;0.455772344;0.629845037;0.6420726;0.299604;-0.420018915;-0.94309202;-0.143684537;-0.446885386;-0.821619353;0.274336095
0.439616113;0.290134168;-1.096669386;0.769127913;-0.777832633;-0.033455662;0.583481041;-0.143742503;0.478190508;-0.170867369;0.461682521;0.03215344;-0.541904267;0.38308581;-0.104115761
-3.697411667;-0.390805364;-0.343034126;-0.127010722;0.010505412;0.035776239;0.702396089;-0.147712149;-0.28158413;0.821218786;0.992078096;0.168118524;-0.347376903;0.421366793;-0.053576579
-3.312056214;0.157695259;-0.312546652;-0.699555055;-0.352349646;0.01559061;0.550480711;-0.918854661;-0.649033883;-1.024016185;0.177831371;0.332157597;0.486009773;-0.829618576;-0.357358723
0.272857172;-0.064375534;0.095075424;0.644825065;0.083778022;0.694314212;0.451302768;-0.140290504;-0.152672861;0.785205057;-0.006532115;-0.60543828;0.168265702;0.445405508;0.211990649
-0.488524032;-0.603478486;-0.053347531;-1.15059477;0.434817122;0.531467419;-0.125382978;1.452386958;0.385528134;-0.321150284;-0.018410122;-0.564771672;0.676155599;0.048433966;0.035876074
-0.414244931;-0.391927763;0.770825773;-0.28144914;-0.905325199;-0.010889908;-0.417813362;0.483001797;0.243275292;0.191267368;1.497343211;-0.233966346;0.140111375;-0.143537364;0.034078873
0.962439696;-0.150911339;0.019850423;0.329445504;-0.048909604;-0.048186536;0.065121245;-0.466163713;0.71052264;-0.033827854;-0.153650093;-0.412400634;-0.519013332;0.216273738;-0.552003348
-0.693932302;-0.015080714;0.379203142;-0.248019093;0.216155132;0.250514079;-0.266815104;1.545096704;0.372875768;-0.052499417;1.1965977;-0.504100247;-0.580100547;-0.370675496;0.199636627
1.309361093;0.474027019;0.571897553;-0.144203283;-0.071907997;1.289355186;-0.011873159;-0.888680957;0.443957132;0.042246033;-0.25712051;-0.034334265;0.751335194;-1.325532575;-0.295362528
-3.777814361;0.343885599;-0.573828482;1.179465149;0.641812659;-0.309244831;-0.210116692;-0.228605906;0.527275185;0.749304423;0.785538558;-0.445283895;0.29088846;-0.198999131;-0.22270232
-2.943229462;0.354571238;0.127909312;-0.187271637;0.270738697;-0.923240806;0.379540835;-0.194390341;-0.601477256;0.648828363;0.407689863;-0.461300885;-0.700373415;0.609672886;-0.033261996
-0.519981178;1.439063606;0.824209948;-0.385106093;-1.304868932;-0.173281988;-0.174516387;0.240746636;0.703736308;1.067600099;-0.688586506;-0.726025576;-0.28135806;0.160991053;-0.044710531
8.037556485;0.977004993;0.044547131;0.630925645;-0.064206523;0.234378236;-0.249463982;0.835167208;-0.237538281;0.78792021;0.600784684;-0.00993726;0.290858174;-0.617514908;0.380522699
-0.63702045;-0.655561879;0.938675021;-0.304788752;-0.146499247;0.31464541;-0.386550123;0.013483839;0.648826577;0.375846482;0.297057479;0.420585304;0.637457368;-0.193587887;-0.32270877
-0.561305717;0.757116627;-0.279307314;-0.128595256;-0.815467282;0.468234802;0.520518011;-0.376894535;0.812690973;0.463816782;-0.989040281;-0.751682933;0.443138909;-0.252240017;-0.155728153
